sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,two_year_recid,AL_prediction,AL_prediction_proba,GL_prediction,GL_prediction_proba,GD_prediction,GD_prediction_proba
1,28,0,1,0,0,0,5,0,0.0,1.0,0.3571325,1.0,0.28617883,1,0.016858961
1,26,0,1,0,0,0,1,0,0.0,1.0,0.49181074,0.0,0.6419071,0,0.6611912
1,37,0,1,0,0,0,9,0,0.0,1.0,0.33711898,1.0,0.3209139,1,0.01717954
1,26,0,1,0,0,0,2,0,1.0,1.0,0.43140572,1.0,0.4809748,1,0.29045126
1,30,0,1,4,0,0,12,0,1.0,1.0,0.22413838,1.0,0.23851824,1,0.0024751471
1,32,0,1,1,0,0,2,1,1.0,1.0,0.32911646,1.0,0.3236298,1,0.03462456
0,24,2,1,0,0,0,2,0,1.0,1.0,0.4625702,1.0,0.3860445,1,0.06473087
0,21,2,1,0,0,0,0,1,0.0,1.0,0.47651738,0.0,0.5782018,0,0.8974659
1,57,1,0,0,0,0,1,0,0.0,0.0,0.8003055,0.0,0.76957893,0,0.9846922
1,28,0,1,0,0,0,0,1,1.0,0.0,0.6356989,0.0,0.67520297,0,0.9852726
0,20,2,1,0,0,1,0,1,1.0,1.0,0.24135923,1.0,0.46756226,1,0.36557326
1,31,0,0,0,0,0,8,1,0.0,1.0,0.33885938,1.0,0.32808948,1,0.028810864
1,26,0,0,0,0,0,0,1,0.0,0.0,0.6218029,0.0,0.65383625,0,0.9835956
1,47,1,1,0,0,0,5,0,0.0,0.0,0.5914686,0.0,0.5000099,0,0.6913399
1,44,0,0,0,0,0,4,1,0.0,0.0,0.5759934,0.0,0.58386326,0,0.7588989
1,29,0,0,0,0,0,0,1,0.0,0.0,0.6867739,0.0,0.684371,0,0.9858402
1,27,0,1,0,0,0,4,0,1.0,1.0,0.3714776,1.0,0.30591726,1,0.028363284
1,28,0,1,0,0,0,0,1,0.0,0.0,0.6356989,0.0,0.67520297,0,0.9852726
1,23,2,1,0,0,0,2,0,1.0,1.0,0.35478532,1.0,0.34995425,1,0.005321727
1,35,0,1,0,0,0,6,0,1.0,1.0,0.40871495,1.0,0.36328846,1,0.07230826
1,30,0,0,0,0,0,0,1,0.0,0.0,0.7038014,0.0,0.69392705,0,0.98636764
1,28,0,1,0,0,0,0,1,0.0,0.0,0.6356989,0.0,0.67520297,0,0.9852726
1,28,0,1,0,0,0,1,1,1.0,0.0,0.5310226,0.0,0.6857642,0,0.8320562
0,27,0,0,0,0,0,2,0,0.0,1.0,0.4957853,0.0,0.5274706,0,0.56616557
1,32,0,1,0,0,0,8,0,1.0,1.0,0.32573974,1.0,0.26267725,1,0.010025335
0,24,2,1,0,0,0,0,0,1.0,0.0,0.6548814,0.0,0.58878183,0,0.9548979
1,28,0,0,0,0,0,8,0,1.0,1.0,0.28277212,1.0,0.166726,1,0.00413354
