sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,two_year_recid,AL_prediction,AL_prediction_proba,GL_prediction,GL_prediction_proba,GD_prediction,GD_prediction_proba
1,28,0,1,0,0,0,5,0,0.0,1.0,0.35713804,1.0,0.49392563,0,0.5019154
1,26,0,1,0,0,0,1,0,0.0,1.0,0.4918146,0.0,0.52449006,0,0.50190115
1,37,0,1,0,0,0,9,0,0.0,1.0,0.33711457,1.0,0.47294933,0,0.5019243
1,26,0,1,0,0,0,2,0,1.0,1.0,0.43141127,0.0,0.5137886,0,0.50190574
1,30,0,1,4,0,0,12,0,1.0,1.0,0.22413623,1.0,0.3765236,1,0.49951717
1,32,0,1,1,0,0,2,1,1.0,1.0,0.3291124,1.0,0.22373438,0,0.500263
0,24,2,1,0,0,0,2,0,1.0,1.0,0.46257865,0.0,0.5113417,0,0.5019102
0,21,2,1,0,0,0,0,1,0.0,1.0,0.47651613,0.0,0.69972277,0,0.5021358
1,57,1,0,0,0,0,1,0,0.0,0.0,0.8003079,0.0,0.5315789,0,0.5019018
1,28,0,1,0,0,0,0,1,1.0,0.0,0.6357025,0.0,0.69961834,0,0.50213647
0,20,2,1,0,0,1,0,1,1.0,1.0,0.24135196,0.0,0.65747964,0,0.50196403
1,31,0,0,0,0,0,8,1,0.0,1.0,0.33886462,1.0,0.49268734,0,0.50190765
1,26,0,0,0,0,0,0,1,0.0,0.0,0.62181544,0.0,0.6994878,0,0.50213563
1,47,1,1,0,0,0,5,0,0.0,0.0,0.59147084,0.0,0.50041294,0,0.501912
1,44,0,0,0,0,0,4,1,0.0,0.0,0.5760061,0.0,0.5147047,0,0.5018989
1,29,0,0,0,0,0,0,1,0.0,0.0,0.6867871,0.0,0.6996689,0,0.50213677
1,27,0,1,0,0,0,4,0,1.0,1.0,0.37148392,1.0,0.4995941,0,0.50191265
1,28,0,1,0,0,0,0,1,0.0,0.0,0.6357025,0.0,0.69961834,0,0.50213647
1,23,2,1,0,0,0,2,0,1.0,1.0,0.3547945,0.0,0.5104575,0,0.50191075
1,35,0,1,0,0,0,6,0,1.0,1.0,0.40871316,1.0,0.49043447,0,0.50191593
1,30,0,0,0,0,0,0,1,0.0,0.0,0.7038151,0.0,0.6997193,0,0.50213706
1,28,0,1,0,0,0,0,1,0.0,0.0,0.6357025,0.0,0.69961834,0,0.50213647
1,28,0,1,0,0,0,1,1,1.0,0.0,0.53102493,0.0,0.533048,0,0.5018964
0,27,0,0,0,0,0,2,0,0.0,1.0,0.49577695,0.0,0.51423717,0,0.5019054
1,32,0,1,0,0,0,8,0,1.0,1.0,0.3257395,1.0,0.4779024,0,0.5019227
0,24,2,1,0,0,0,0,0,1.0,0.0,0.6548835,0.0,0.69743013,0,0.5021348
1,28,0,0,0,0,0,8,0,1.0,1.0,0.28277296,1.0,0.47602051,0,0.5019247
0,39,0,1,0,0,0,3,0,1.0,0.0,0.58006465,0.0,0.50953484,0,0.5019067
1,22,2,0,0,0,1,1,0,0.0,0.0,0.57735765,1.0,0.31468177,0,0.5023107
1,39,0,0,0,0,0,1,0,0.0,0.0,0.66748023,0.0,0.527401,0,0.5018998
1,29,0,1,0,0,0,0,0,0.0,0.0,0.70694065,0.0,0.69711965,0,0.50213295
0,45,1,0,0,0,0,0,1,0.0,0.0,0.86474735,0.0,0.7009605,0,0.5021422
0,26,0,1,0,0,0,1,1,0.0,0.0,0.5568626,0.0,0.5323957,0,0.5018966
0,45,1,0,0,0,0,1,1,0.0,0.0,0.7594404,0.0,0.53803957,0,0.50189847
1,52,1,0,0,0,0,1,0,0.0,0.0,0.76321363,0.0,0.5307876,0,0.5019018
1,51,1,1,0,0,0,1,0,0.0,0.0,0.72384125,0.0,0.53063446,0,0.5019018
0,29,0,0,0,0,0,1,0,1.0,0.0,0.5822361,0.0,0.5254766,0,0.5019006
1,31,0,1,0,0,0,13,1,1.0,1.0,0.295842,1.0,0.4663226,0,0.5019173
1,47,1,0,0,0,0,0,1,0.0,0.0,0.8353736,0.0,0.70097256,0,0.50214237
1,21,2,0,0,0,0,0,0,0.0,0.0,0.5536592,0.0,0.69696057,0,0.502132
1,43,0,1,0,0,0,7,0,0.0,1.0,0.43043137,1.0,0.48652345,0,0.5019166
1,21,2,0,0,0,0,1,0,0.0,1.0,0.33276087,0.0,0.51996744,0,0.5019074
